kaggle_dataset_names,kaggle_dataset,gcs_path
graf10a/siim-png-tfrecords-512-isic-2019-new,siim-png-tfrecords-512-isic-2019-new,gs://kds-2217254ae36e2c8530157b74cc38e7dd9ffd60a4a244d53bdfc709c7
graf10a/siim-tfrec-1024-part-3,siim-tfrec-1024-part-3,gs://kds-b09c72397075623a0610da5624c3afd6ad9a0807458262a72bbe11bd
graf10a/siim-tfrec-1024-test,siim-tfrec-1024-test,gs://kds-5dfcd258dbf45ca01b7ba58d3d9acd877947db06949b4eb8889ccd4a
graf10a/siim-tfrec-1024-train-part-1,siim-tfrec-1024-train-part-1,gs://kds-1ffc3243c99847b4019b02b267c80454102e7a493c947a7f46b2fc6d
graf10a/siim-tfrec-1024-train-part-2,siim-tfrec-1024-train-part-2,gs://kds-a98d7b54c0948fa9e98994be20e16cb155e6f750be489f8f4a02d707
graf10a/siim-tfrec-224-test,siim-tfrec-224-test,gs://kds-2e253b5c97492d3442ccadf44ea3ad252db24d55d6c1d24e5597f0d3
graf10a/siim-tfrec-224-train,siim-tfrec-224-train,gs://kds-8d344e58166118525f170bd11d5b4260787c6d586b03213f2c8b0781
graf10a/siim-tfrec-256-test,siim-tfrec-256-test,gs://kds-6eb69dc618830e8ed0ffb4ad4c10befe269a6a9d30f4983a4d3a2ad2
graf10a/siim-tfrec-256-train,siim-tfrec-256-train,gs://kds-299f289d93cc4e5ab6b26a92e602f28d02590d86d86293a0ca3be926
graf10a/siim-tfrec-384-test,siim-tfrec-384-test,gs://kds-a1e073c0f75ac3e30a5f9f526aefbf1bb6bf7b35871f63b6e0ec9475
graf10a/siim-tfrec-384-train,siim-tfrec-384-train,gs://kds-31d1ba857c1b54b648d6d2ca244c086662f71948e7f14d81d91dfd79
graf10a/siim-tfrec-768-test,siim-tfrec-768-test,gs://kds-fd802092dad24a3583c3bfc03dba6d2c989b07899a0a1005af0d7739
graf10a/siim-tfrec-768-train-part-1,siim-tfrec-768-train-part-1,gs://kds-6efcfadd7b90746c244beb264639d426c444a9831a247d9af0acb952
graf10a/siim-tfrec-768-train-part-2,siim-tfrec-768-train-part-2,gs://kds-d85c80fc180ae4b4d1fca4ba4d769356a4859d577a211116484a713d
graf10a/siim-tfrec-cc-512-test,siim-tfrec-cc-512-test,gs://kds-47d2ee39aa3697f2f4b91568497c798552d55d8848f9c3bacfba6c4c
tt195361/256x256-melanoma-tfrecords-70k-images,256x256-melanoma-tfrecords-70k-images,gs://kds-ce0e5cb3286425aec39eb8968efc26f7b463490a5403b20078499206
tt195361/768x768-melanoma-tfrecords-70k-images,768x768-melanoma-tfrecords-70k-images,gs://kds-dc98756859a0adb210d1553f077f3ff37d588710e2ec608afa8a7bca
graf10a/siim-png-cc-tfrecords-512-isic-2019-new,siim-png-cc-tfrecords-512-isic-2019-new,gs://kds-3e11227d0ab1e644a135643b262add4af38ee99e2b4c4ba680882b77
graf10a/siim-png-cc-tfrecords-640-extra-malignant,siim-png-cc-tfrecords-640-extra-malignant,gs://kds-72ba4743ad6f8111a713590fbdf616d94c72af5f3af08a3cd96653bf
graf10a/siim-png-cc-tfrecords-640-isic-2019-old,siim-png-cc-tfrecords-640-isic-2019-old,gs://kds-1ae6762135ad53317cf6e7361078cb2004a0a87f1f0277257407475c
graf10a/siim-png-cc-tfrecords-640-test,siim-png-cc-tfrecords-640-test,gs://kds-ebd256dfcf111dabe06e5379e07fea51b3c6c34a2e871eaebb0ffd56
graf10a/siim-png-cc-tfrecords-640-train,siim-png-cc-tfrecords-640-train,gs://kds-fa491846f1d125b66d8877712e95e45ce0dd1666fddd9b850ade45fb
graf10a/siim-pngs-224-test,siim-pngs-224-test,gs://kds-a720b7a806df1807472d3bc776549fa9a295608f988b9f595cd83b52
graf10a/siim-pngs-224-train,siim-pngs-224-train,gs://kds-ef1ae9325f323453eb884c60dea3424d7be02c891e55c7b90bbf1f3b
graf10a/siim-pngs-512-test,siim-pngs-512-test,gs://kds-3393bc3068362ecee2517bd354604823df97bac9dd56106d82c3aa55
graf10a/siim-pngs-640-test,siim-pngs-640-test,gs://kds-11c6da55a362e54596861f19c44542cc48b19daec1b8248129d81676
graf10a/siim-pngs-640-train,siim-pngs-640-train,gs://kds-e24d6ec8307be711357c5a3f9db622bd91516e6376ff339f4d28f08a
graf10a/siim-pngs-768-test-part-1,siim-pngs-768-test-part-1,gs://kds-a9415e84b4aeaad127d1cded17b6f3c059edd992330403b72cd766c1
graf10a/siim-pngs-768-test-part-2,siim-pngs-768-test-part-2,gs://kds-d394c56d9ad96cf597a7a3588d88f2f2e87f2f739260e8d2b6c8edd6
