kaggle_dataset_names,gcs_path,kaggle_dataset
graf10a/siim-cc-jpegs-768-train-part-1,gs://kds-9e7d5bc830a65b90237d1ceda815e37443152a540d69e8dfaf7ba45d,siim-cc-jpegs-768-train-part-1
graf10a/siim-cc-jpegs-768-train-part-2,gs://kds-b20b80321077c1e6a1bcfb9f3055e537d71b3449a241722ad168ae79,siim-cc-jpegs-768-train-part-2
graf10a/siim-tfrec-cc-512-external,gs://kds-cfe883cf8aaaf95a08dd613590f006770c71c68c86b5126696e371b9,siim-tfrec-cc-512-external
graf10a/siim-tfrec-cc-640-external,gs://kds-31297163ab9d01c12787b949198ea30fb96cdfb8b7975445277cbd6b,siim-tfrec-cc-640-external
graf10a/siim-tfrec-cc-640-test,gs://kds-46fb08041b0585d980c87c5c7842c8ea3bf944ff36ee2f3dea19cc32,siim-tfrec-cc-640-test
graf10a/siim-tfrec-cc-768-external,gs://kds-b017a5ce68a45a4c11190854077266024f926d3020e0e7f601866bb8,siim-tfrec-cc-768-external
graf10a/siim-tfrec-cc-768-test,gs://kds-b86aa3f4cdcf7689ccdd73b5ffceb8596b103ebc295aa1cef3c4c247,siim-tfrec-cc-768-test
graf10a/siim-tfrec-cc-768-train-part-1,gs://kds-f96c7e714d07ef9880a9a1b31d8042c704b9ca97b54352648d410dea,siim-tfrec-cc-768-train-part-1
graf10a/siim-tfrec-cc-512-train,gs://kds-8d44d1d3c10e3f6adba9a03199486e4f98ec0de3b94e39dcd58021d0,siim-tfrec-cc-512-train
graf10a/siim-tfrec-cc-640-train,gs://kds-58f85ec38aa8be6cc448547138e4a1a8cbf1ccdbab64b60ad0025c41,siim-tfrec-cc-640-train
graf10a/siim-tfrec-cc-768-train-part-2,gs://kds-991c81b43515875e7fe5ab2baa2a4821703daa78b8a08fc15005271f,siim-tfrec-cc-768-train-part-2
graf10a/siim-cc-jpegs-384-train,gs://kds-6d371b175cac8fc4653b8488dc573c85fa67264e1ee47a63305bcbe7,siim-cc-jpegs-384-train
graf10a/siim-cc-jpegs-384-test,gs://kds-8376a15824b2674e72ad9a4474b942ef30e6b83b43dbb3bd88f28726,siim-cc-jpegs-384-test
graf10a/siim-cc-jpegs-384-external,gs://kds-1c42d03817bd90b322b0894e8c29dc2d8919dfdd5a41b7457d5a411f,siim-cc-jpegs-384-external
graf10a/siim-cc-jpegs-256-train,gs://kds-189f8ad7f21bb9805ef22dd74a16b0335562f1db3366c81f92c75274,siim-cc-jpegs-256-train
graf10a/siim-cc-jpegs-256-test,gs://kds-6f3c7f0cf4f1ae764f314c54e1fbadb4ac6136afab7974d4b5079381,siim-cc-jpegs-256-test
graf10a/siim-cc-jpegs-256-external,gs://kds-f7ef1bd842fd53295d78aa89208a2182a91e2a9c74c34de41fc5ca97,siim-cc-jpegs-256-external
graf10a/siim-tfrecs-opencv-512-train,gs://kds-30beeeb809b204a9a2bfbdc20b73eb385a1619b77b0bac3a6e238b96,siim-tfrecs-opencv-512-train
graf10a/siim-tfrecs-opencv-512-test,gs://kds-1251caec0ce570001558e60853539f369dc87964602a25f1dd7067b6,siim-tfrecs-opencv-512-test
graf10a/siim-tfrecs-opencv-512-external,gs://kds-bb1f7a26064f320b761072acec07916dcde17bf3029be7e114a32880,siim-tfrecs-opencv-512-external
graf10a/siim-cc-jpegs-128-test,gs://kds-d866d5fb212293be99ca476d8dcdaaf83e359fbde3de7a6851c8d80a,siim-cc-jpegs-128-test
graf10a/siim-cc-jpegs-128-external,gs://kds-c54f506cb09bed906cdc03bf82f40b0a77d7f5a403d546da1de5cd5d,siim-cc-jpegs-128-external
graf10a/siim-tfrec-cc-256-test,gs://kds-7fedbd4f62c18bf022c68c05e74bd2cb89565ae403aee1eb65e48fdd,siim-tfrec-cc-256-test
graf10a/siim-tfrec-cc-384-test,gs://kds-b04a2e3c06aa0f0c005e413184a72826e908c595c788c4ced51cd3c1,siim-tfrec-cc-384-test
graf10a/siim-tfrec-cc-256-external,gs://kds-fa5b680bfc6aecb43605578c35870ef519c93dee7202d296fc2c8034,siim-tfrec-cc-256-external
graf10a/siim-tfrec-cc-384-external,gs://kds-1309e5093103bfff7bffd5450a49a382dd536d66334ea02d3816f8da,siim-tfrec-cc-384-external
